lat,lon,alt
26.5578172,-97.437045,0.018999999
26.5578149,-97.4370528,0.108999997
26.5578329,-97.4370294,37.65100098
26.5578098,-97.4370609,60.06100082
26.5577711,-97.433963,77.01000214
26.5577118,-97.4313145,81.4980011
26.5576597,-97.4286542,77.82099915
26.5576017,-97.4237372,80.73999786
26.5610338,-97.4119281,92.66600037
26.5623486,-97.406904,91.18499756
26.5630943,-97.4042746,92.29799652
26.5637878,-97.4016764,90.64600372
26.5640296,-97.3993376,92.38999939
26.5639819,-97.3983867,91.72299957
26.5594294,-97.399931,93.21600342
26.5640407,-97.40394,91.3690033
26.5669082,-97.4028233,92.88600159
26.5684448,-97.4004231,92.38700104
26.5686431,-97.3978305,92.46499634
26.5678356,-97.3956478,90.93199921
26.5663643,-97.3941397,93.26399994
26.5651502,-97.3922101,93.62599945
26.5644386,-97.3875282,91.00800323
26.564117,-97.385162,91.2009964
26.5637523,-97.3825127,92.44300079
26.5622501,-97.3700238,91.8789978
26.5619546,-97.3673563,91.42700195
26.5616618,-97.3648773,93.2009964
26.5614346,-97.362642,91.77799988
26.5602545,-97.3495359,92.3710022
26.5601371,-97.3470517,91.35199738
26.5599251,-97.3443161,92.02200317
26.5596427,-97.3420689,91.01499939
26.557244,-97.3411982,92.18299866
26.5554311,-97.3461751,91.65000153
26.556993,-97.3493661,91.47499847
26.5627644,-97.3497798,91.74500275
26.5645526,-97.3471816,90.96800232
26.5647679,-97.3446456,91.90299988
26.5639579,-97.3423964,90.93800354
26.5625396,-97.3409142,92.77700043
26.5569229,-97.3415264,92.14099884
26.5556144,-97.3437852,91.55500031
26.5600369,-97.3506871,92.05200195
26.5631047,-97.3494958,93.68599701
26.5505262,-97.3600177,91.44799805
26.55028,-97.3630252,92.71099854
26.5500557,-97.3664291,93.26599884
26.5498374,-97.3694598,92.01399994
26.5494022,-97.3755648,90.55400085
26.5489492,-97.3816904,92.91500092
26.5488147,-97.3876977,91.64900208
26.5488318,-97.3909413,91.31400299
26.5488612,-97.3943614,90.96600342
26.5489299,-97.4043554,92.54799652
26.5489355,-97.4076191,91.94300079
26.5492392,-97.4101721,92.84500122
26.5551337,-97.4153813,92.60299683
26.5577887,-97.416967,91.23300171
26.5609906,-97.4183281,90.875
26.5642872,-97.4196936,92.21299744
26.5674889,-97.4210524,91.13800049
26.5716263,-97.4287155,80.55400085
26.571974,-97.4387438,82.82099915
26.5683246,-97.4418954,76.17199707
26.566445,-97.4431201,70.68499756
26.5613652,-97.4431242,71.1289978
26.56036,-97.4413664,64.78800201
26.5593681,-97.4396911,63.55599976
26.5583782,-97.4378996,78.44599915
26.5580005,-97.4373845,77.70600128
26.5578114,-97.4370574,54.47200012
26.5578294,-97.4370407,35.29999924
